"","exon.lengths","Gene"
"ENSRNOG00000010518",1702,"ENSRNOG00000010518"
"ENSRNOG00000010519",3108,"ENSRNOG00000010519"
"ENSRNOG00000010520",1804,"ENSRNOG00000010520"
"ENSRNOG00000010522",3509,"ENSRNOG00000010522"
"ENSRNOG00000010523",1441,"ENSRNOG00000010523"
"ENSRNOG00000010524",964,"ENSRNOG00000010524"
"ENSRNOG00000010526",4749,"ENSRNOG00000010526"
"ENSRNOG00000010528",3305,"ENSRNOG00000010528"
"ENSRNOG00000010529",5728,"ENSRNOG00000010529"
"ENSRNOG00000010531",1418,"ENSRNOG00000010531"
"ENSRNOG00000010532",3963,"ENSRNOG00000010532"
"ENSRNOG00000010533",5166,"ENSRNOG00000010533"
"ENSRNOG00000010534",5793,"ENSRNOG00000010534"
"ENSRNOG00000010535",4694,"ENSRNOG00000010535"
"ENSRNOG00000010536",5439,"ENSRNOG00000010536"
"ENSRNOG00000010537",3204,"ENSRNOG00000010537"
"ENSRNOG00000010538",1382,"ENSRNOG00000010538"
"ENSRNOG00000010539",1900,"ENSRNOG00000010539"
"ENSRNOG00000010540",2503,"ENSRNOG00000010540"
"ENSRNOG00000010543",4054,"ENSRNOG00000010543"
"ENSRNOG00000010545",1334,"ENSRNOG00000010545"
"ENSRNOG00000010546",499,"ENSRNOG00000010546"
"ENSRNOG00000010549",873,"ENSRNOG00000010549"
"ENSRNOG00000010550",1387,"ENSRNOG00000010550"
"ENSRNOG00000010551",1927,"ENSRNOG00000010551"
"ENSRNOG00000010552",2568,"ENSRNOG00000010552"
"ENSRNOG00000010553",9651,"ENSRNOG00000010553"
"ENSRNOG00000010555",2776,"ENSRNOG00000010555"
"ENSRNOG00000010556",3530,"ENSRNOG00000010556"
"ENSRNOG00000010557",8667,"ENSRNOG00000010557"
"ENSRNOG00000010558",1583,"ENSRNOG00000010558"
"ENSRNOG00000010560",1386,"ENSRNOG00000010560"
"ENSRNOG00000010566",2512,"ENSRNOG00000010566"
"ENSRNOG00000010567",4731,"ENSRNOG00000010567"
"ENSRNOG00000010572",3241,"ENSRNOG00000010572"
"ENSRNOG00000010573",1355,"ENSRNOG00000010573"
"ENSRNOG00000010574",4130,"ENSRNOG00000010574"
"ENSRNOG00000010575",3058,"ENSRNOG00000010575"
"ENSRNOG00000010580",3866,"ENSRNOG00000010580"
"ENSRNOG00000010584",3477,"ENSRNOG00000010584"
"ENSRNOG00000010587",3877,"ENSRNOG00000010587"
"ENSRNOG00000010588",13128,"ENSRNOG00000010588"
"ENSRNOG00000010589",6093,"ENSRNOG00000010589"
"ENSRNOG00000010591",14930,"ENSRNOG00000010591"
"ENSRNOG00000010592",4006,"ENSRNOG00000010592"
"ENSRNOG00000010593",3858,"ENSRNOG00000010593"
"ENSRNOG00000010594",2724,"ENSRNOG00000010594"
"ENSRNOG00000010595",1829,"ENSRNOG00000010595"
"ENSRNOG00000010597",4892,"ENSRNOG00000010597"
"ENSRNOG00000010600",5955,"ENSRNOG00000010600"
"ENSRNOG00000010601",4211,"ENSRNOG00000010601"
"ENSRNOG00000010602",3432,"ENSRNOG00000010602"
"ENSRNOG00000010603",877,"ENSRNOG00000010603"
"ENSRNOG00000010605",1158,"ENSRNOG00000010605"
"ENSRNOG00000010607",7236,"ENSRNOG00000010607"
"ENSRNOG00000010608",5501,"ENSRNOG00000010608"
"ENSRNOG00000010609",2618,"ENSRNOG00000010609"
"ENSRNOG00000010610",1680,"ENSRNOG00000010610"
"ENSRNOG00000010616",2620,"ENSRNOG00000010616"
"ENSRNOG00000010617",7451,"ENSRNOG00000010617"
"ENSRNOG00000010620",4672,"ENSRNOG00000010620"
"ENSRNOG00000010624",3882,"ENSRNOG00000010624"
"ENSRNOG00000010625",4292,"ENSRNOG00000010625"
"ENSRNOG00000010626",3161,"ENSRNOG00000010626"
"ENSRNOG00000010628",3508,"ENSRNOG00000010628"
"ENSRNOG00000010629",4101,"ENSRNOG00000010629"
"ENSRNOG00000010630",3934,"ENSRNOG00000010630"
"ENSRNOG00000010633",3937,"ENSRNOG00000010633"
"ENSRNOG00000010634",5358,"ENSRNOG00000010634"
"ENSRNOG00000010635",2528,"ENSRNOG00000010635"
"ENSRNOG00000010636",2780,"ENSRNOG00000010636"
"ENSRNOG00000010637",4148,"ENSRNOG00000010637"
"ENSRNOG00000010640",2181,"ENSRNOG00000010640"
"ENSRNOG00000010642",1834,"ENSRNOG00000010642"
"ENSRNOG00000010643",4958,"ENSRNOG00000010643"
"ENSRNOG00000010645",1671,"ENSRNOG00000010645"
"ENSRNOG00000010646",5555,"ENSRNOG00000010646"
"ENSRNOG00000010649",6704,"ENSRNOG00000010649"
"ENSRNOG00000010650",7245,"ENSRNOG00000010650"
"ENSRNOG00000010652",7120,"ENSRNOG00000010652"
"ENSRNOG00000010653",4163,"ENSRNOG00000010653"
"ENSRNOG00000010655",3997,"ENSRNOG00000010655"
"ENSRNOG00000010657",555,"ENSRNOG00000010657"
"ENSRNOG00000010658",1960,"ENSRNOG00000010658"
"ENSRNOG00000010659",2865,"ENSRNOG00000010659"
"ENSRNOG00000010661",1184,"ENSRNOG00000010661"
"ENSRNOG00000010663",8513,"ENSRNOG00000010663"
"ENSRNOG00000010664",1810,"ENSRNOG00000010664"
"ENSRNOG00000010665",4075,"ENSRNOG00000010665"
"ENSRNOG00000010666",1805,"ENSRNOG00000010666"
"ENSRNOG00000010668",3060,"ENSRNOG00000010668"
"ENSRNOG00000010673",2308,"ENSRNOG00000010673"
"ENSRNOG00000010676",2279,"ENSRNOG00000010676"
"ENSRNOG00000010680",8999,"ENSRNOG00000010680"
"ENSRNOG00000010681",2456,"ENSRNOG00000010681"
"ENSRNOG00000010682",5627,"ENSRNOG00000010682"
"ENSRNOG00000010685",4611,"ENSRNOG00000010685"
"ENSRNOG00000010688",243,"ENSRNOG00000010688"
"ENSRNOG00000010691",1744,"ENSRNOG00000010691"
"ENSRNOG00000010694",3469,"ENSRNOG00000010694"
"ENSRNOG00000010695",2681,"ENSRNOG00000010695"
"ENSRNOG00000010696",1042,"ENSRNOG00000010696"
"ENSRNOG00000010697",1685,"ENSRNOG00000010697"
"ENSRNOG00000010698",1189,"ENSRNOG00000010698"
"ENSRNOG00000010699",1356,"ENSRNOG00000010699"
"ENSRNOG00000010701",2495,"ENSRNOG00000010701"
"ENSRNOG00000010702",5345,"ENSRNOG00000010702"
"ENSRNOG00000010706",2199,"ENSRNOG00000010706"
"ENSRNOG00000010708",3311,"ENSRNOG00000010708"
"ENSRNOG00000010711",8158,"ENSRNOG00000010711"
"ENSRNOG00000010712",2209,"ENSRNOG00000010712"
"ENSRNOG00000010714",2352,"ENSRNOG00000010714"
"ENSRNOG00000010716",2375,"ENSRNOG00000010716"
"ENSRNOG00000010718",3920,"ENSRNOG00000010718"
"ENSRNOG00000010719",3745,"ENSRNOG00000010719"
"ENSRNOG00000010721",4133,"ENSRNOG00000010721"
"ENSRNOG00000010725",1633,"ENSRNOG00000010725"
"ENSRNOG00000010727",1501,"ENSRNOG00000010727"
"ENSRNOG00000010728",2351,"ENSRNOG00000010728"
"ENSRNOG00000010729",4281,"ENSRNOG00000010729"
"ENSRNOG00000010730",859,"ENSRNOG00000010730"
"ENSRNOG00000010731",3501,"ENSRNOG00000010731"
"ENSRNOG00000010733",3186,"ENSRNOG00000010733"
"ENSRNOG00000010735",2114,"ENSRNOG00000010735"
"ENSRNOG00000010736",1384,"ENSRNOG00000010736"
"ENSRNOG00000010737",4828,"ENSRNOG00000010737"
"ENSRNOG00000010741",1545,"ENSRNOG00000010741"
"ENSRNOG00000010743",2463,"ENSRNOG00000010743"
"ENSRNOG00000010744",4965,"ENSRNOG00000010744"
"ENSRNOG00000010746",510,"ENSRNOG00000010746"
"ENSRNOG00000010747",1720,"ENSRNOG00000010747"
"ENSRNOG00000010748",7152,"ENSRNOG00000010748"
"ENSRNOG00000010750",3557,"ENSRNOG00000010750"
"ENSRNOG00000010752",2498,"ENSRNOG00000010752"
"ENSRNOG00000010753",3202,"ENSRNOG00000010753"
"ENSRNOG00000010756",3694,"ENSRNOG00000010756"
"ENSRNOG00000010758",1625,"ENSRNOG00000010758"
"ENSRNOG00000010760",1913,"ENSRNOG00000010760"
"ENSRNOG00000010761",1494,"ENSRNOG00000010761"
"ENSRNOG00000010763",2253,"ENSRNOG00000010763"
"ENSRNOG00000010765",5518,"ENSRNOG00000010765"
"ENSRNOG00000010768",3745,"ENSRNOG00000010768"
"ENSRNOG00000010771",14835,"ENSRNOG00000010771"
"ENSRNOG00000010775",3886,"ENSRNOG00000010775"
"ENSRNOG00000010776",3811,"ENSRNOG00000010776"
"ENSRNOG00000010777",4649,"ENSRNOG00000010777"
"ENSRNOG00000010780",8741,"ENSRNOG00000010780"
"ENSRNOG00000010783",3868,"ENSRNOG00000010783"
"ENSRNOG00000010784",2164,"ENSRNOG00000010784"
"ENSRNOG00000010785",723,"ENSRNOG00000010785"
"ENSRNOG00000010789",3966,"ENSRNOG00000010789"
"ENSRNOG00000010791",4283,"ENSRNOG00000010791"
"ENSRNOG00000010793",2474,"ENSRNOG00000010793"
"ENSRNOG00000010794",5671,"ENSRNOG00000010794"
"ENSRNOG00000010795",3772,"ENSRNOG00000010795"
"ENSRNOG00000010797",2084,"ENSRNOG00000010797"
"ENSRNOG00000010798",2264,"ENSRNOG00000010798"
"ENSRNOG00000010799",3166,"ENSRNOG00000010799"
"ENSRNOG00000010800",2207,"ENSRNOG00000010800"
"ENSRNOG00000010802",2329,"ENSRNOG00000010802"
"ENSRNOG00000010803",2609,"ENSRNOG00000010803"
"ENSRNOG00000010805",1748,"ENSRNOG00000010805"
"ENSRNOG00000010806",612,"ENSRNOG00000010806"
"ENSRNOG00000010807",368,"ENSRNOG00000010807"
"ENSRNOG00000010811",736,"ENSRNOG00000010811"
"ENSRNOG00000010812",4079,"ENSRNOG00000010812"
"ENSRNOG00000010813",6128,"ENSRNOG00000010813"
"ENSRNOG00000010815",11514,"ENSRNOG00000010815"
"ENSRNOG00000010816",2385,"ENSRNOG00000010816"
"ENSRNOG00000010819",4150,"ENSRNOG00000010819"
"ENSRNOG00000010821",3089,"ENSRNOG00000010821"
"ENSRNOG00000010824",3962,"ENSRNOG00000010824"
"ENSRNOG00000010825",1384,"ENSRNOG00000010825"
"ENSRNOG00000010827",3414,"ENSRNOG00000010827"
"ENSRNOG00000010830",1229,"ENSRNOG00000010830"
"ENSRNOG00000010832",1483,"ENSRNOG00000010832"
"ENSRNOG00000010833",2144,"ENSRNOG00000010833"
"ENSRNOG00000010834",3189,"ENSRNOG00000010834"
"ENSRNOG00000010835",4096,"ENSRNOG00000010835"
"ENSRNOG00000010838",2628,"ENSRNOG00000010838"
"ENSRNOG00000010839",1645,"ENSRNOG00000010839"
"ENSRNOG00000010840",7268,"ENSRNOG00000010840"
"ENSRNOG00000010841",4490,"ENSRNOG00000010841"
"ENSRNOG00000010843",2569,"ENSRNOG00000010843"
"ENSRNOG00000010846",2614,"ENSRNOG00000010846"
"ENSRNOG00000010849",1666,"ENSRNOG00000010849"
"ENSRNOG00000010852",6619,"ENSRNOG00000010852"
"ENSRNOG00000010853",2281,"ENSRNOG00000010853"
"ENSRNOG00000010859",2578,"ENSRNOG00000010859"
"ENSRNOG00000010861",4464,"ENSRNOG00000010861"
"ENSRNOG00000010866",1425,"ENSRNOG00000010866"
"ENSRNOG00000010868",1856,"ENSRNOG00000010868"
"ENSRNOG00000010870",4352,"ENSRNOG00000010870"
"ENSRNOG00000010872",1447,"ENSRNOG00000010872"
"ENSRNOG00000010873",2212,"ENSRNOG00000010873"
"ENSRNOG00000010875",1710,"ENSRNOG00000010875"
"ENSRNOG00000010877",3013,"ENSRNOG00000010877"
"ENSRNOG00000010880",1134,"ENSRNOG00000010880"
"ENSRNOG00000010881",4667,"ENSRNOG00000010881"
"ENSRNOG00000010882",3372,"ENSRNOG00000010882"
"ENSRNOG00000010883",3299,"ENSRNOG00000010883"
"ENSRNOG00000010885",2303,"ENSRNOG00000010885"
"ENSRNOG00000010886",2389,"ENSRNOG00000010886"
"ENSRNOG00000010887",2514,"ENSRNOG00000010887"
"ENSRNOG00000010888",1945,"ENSRNOG00000010888"
"ENSRNOG00000010889",5600,"ENSRNOG00000010889"
"ENSRNOG00000010890",3674,"ENSRNOG00000010890"
"ENSRNOG00000010891",3873,"ENSRNOG00000010891"
"ENSRNOG00000010892",8289,"ENSRNOG00000010892"
"ENSRNOG00000010893",1017,"ENSRNOG00000010893"
"ENSRNOG00000010894",954,"ENSRNOG00000010894"
"ENSRNOG00000010895",2216,"ENSRNOG00000010895"
"ENSRNOG00000010896",3758,"ENSRNOG00000010896"
"ENSRNOG00000010897",3468,"ENSRNOG00000010897"
"ENSRNOG00000010898",1622,"ENSRNOG00000010898"
"ENSRNOG00000010899",1790,"ENSRNOG00000010899"
"ENSRNOG00000010902",3758,"ENSRNOG00000010902"
"ENSRNOG00000010903",5237,"ENSRNOG00000010903"
"ENSRNOG00000010905",1390,"ENSRNOG00000010905"
"ENSRNOG00000010906",1199,"ENSRNOG00000010906"
"ENSRNOG00000010910",3169,"ENSRNOG00000010910"
"ENSRNOG00000010911",4089,"ENSRNOG00000010911"
"ENSRNOG00000010912",935,"ENSRNOG00000010912"
"ENSRNOG00000010914",2931,"ENSRNOG00000010914"
"ENSRNOG00000010915",5485,"ENSRNOG00000010915"
"ENSRNOG00000010917",3708,"ENSRNOG00000010917"
"ENSRNOG00000010918",2980,"ENSRNOG00000010918"
"ENSRNOG00000010919",3093,"ENSRNOG00000010919"
"ENSRNOG00000010921",2875,"ENSRNOG00000010921"
"ENSRNOG00000010922",13157,"ENSRNOG00000010922"
"ENSRNOG00000010929",2643,"ENSRNOG00000010929"
"ENSRNOG00000010930",2596,"ENSRNOG00000010930"
"ENSRNOG00000010932",1889,"ENSRNOG00000010932"
"ENSRNOG00000010934",670,"ENSRNOG00000010934"
"ENSRNOG00000010935",1433,"ENSRNOG00000010935"
"ENSRNOG00000010938",1877,"ENSRNOG00000010938"
"ENSRNOG00000010940",3525,"ENSRNOG00000010940"
"ENSRNOG00000010941",3146,"ENSRNOG00000010941"
"ENSRNOG00000010942",4992,"ENSRNOG00000010942"
"ENSRNOG00000010944",4471,"ENSRNOG00000010944"
"ENSRNOG00000010945",2705,"ENSRNOG00000010945"
"ENSRNOG00000010947",2736,"ENSRNOG00000010947"
"ENSRNOG00000010950",3691,"ENSRNOG00000010950"
"ENSRNOG00000010951",3258,"ENSRNOG00000010951"
"ENSRNOG00000010952",4308,"ENSRNOG00000010952"
"ENSRNOG00000010953",1749,"ENSRNOG00000010953"
"ENSRNOG00000010957",4229,"ENSRNOG00000010957"
"ENSRNOG00000010958",1535,"ENSRNOG00000010958"
"ENSRNOG00000010959",5656,"ENSRNOG00000010959"
"ENSRNOG00000010960",4049,"ENSRNOG00000010960"
"ENSRNOG00000010963",815,"ENSRNOG00000010963"
"ENSRNOG00000010964",12816,"ENSRNOG00000010964"
"ENSRNOG00000010966",3698,"ENSRNOG00000010966"
"ENSRNOG00000010967",5391,"ENSRNOG00000010967"
"ENSRNOG00000010970",1720,"ENSRNOG00000010970"
"ENSRNOG00000010971",4394,"ENSRNOG00000010971"
"ENSRNOG00000010972",792,"ENSRNOG00000010972"
"ENSRNOG00000010975",7070,"ENSRNOG00000010975"
"ENSRNOG00000010977",966,"ENSRNOG00000010977"
"ENSRNOG00000010980",6129,"ENSRNOG00000010980"
"ENSRNOG00000010981",2723,"ENSRNOG00000010981"
"ENSRNOG00000010983",10037,"ENSRNOG00000010983"
"ENSRNOG00000010984",3187,"ENSRNOG00000010984"
"ENSRNOG00000010985",4367,"ENSRNOG00000010985"
"ENSRNOG00000010989",4960,"ENSRNOG00000010989"
"ENSRNOG00000010992",1093,"ENSRNOG00000010992"
"ENSRNOG00000010993",2328,"ENSRNOG00000010993"
"ENSRNOG00000010994",2096,"ENSRNOG00000010994"
"ENSRNOG00000010996",4064,"ENSRNOG00000010996"
"ENSRNOG00000010997",1994,"ENSRNOG00000010997"
"ENSRNOG00000010999",7896,"ENSRNOG00000010999"
"ENSRNOG00000011000",6347,"ENSRNOG00000011000"
"ENSRNOG00000011001",984,"ENSRNOG00000011001"
"ENSRNOG00000011006",2242,"ENSRNOG00000011006"
"ENSRNOG00000011007",5127,"ENSRNOG00000011007"
"ENSRNOG00000011008",1706,"ENSRNOG00000011008"
"ENSRNOG00000011009",1546,"ENSRNOG00000011009"
"ENSRNOG00000011011",660,"ENSRNOG00000011011"
"ENSRNOG00000011014",3412,"ENSRNOG00000011014"
"ENSRNOG00000011015",9731,"ENSRNOG00000011015"
"ENSRNOG00000011016",2637,"ENSRNOG00000011016"
"ENSRNOG00000011020",2595,"ENSRNOG00000011020"
"ENSRNOG00000011022",2945,"ENSRNOG00000011022"
"ENSRNOG00000011024",2191,"ENSRNOG00000011024"
"ENSRNOG00000011025",3435,"ENSRNOG00000011025"
"ENSRNOG00000011026",2349,"ENSRNOG00000011026"
"ENSRNOG00000011027",2564,"ENSRNOG00000011027"
"ENSRNOG00000011028",4365,"ENSRNOG00000011028"
"ENSRNOG00000011029",1925,"ENSRNOG00000011029"
"ENSRNOG00000011032",4358,"ENSRNOG00000011032"
"ENSRNOG00000011033",1571,"ENSRNOG00000011033"
"ENSRNOG00000011034",2298,"ENSRNOG00000011034"
"ENSRNOG00000011037",2490,"ENSRNOG00000011037"
"ENSRNOG00000011039",2777,"ENSRNOG00000011039"
"ENSRNOG00000011040",1824,"ENSRNOG00000011040"
"ENSRNOG00000011042",1236,"ENSRNOG00000011042"
"ENSRNOG00000011044",4450,"ENSRNOG00000011044"
"ENSRNOG00000011047",2554,"ENSRNOG00000011047"
"ENSRNOG00000011052",2462,"ENSRNOG00000011052"
"ENSRNOG00000011053",2218,"ENSRNOG00000011053"
"ENSRNOG00000011054",2988,"ENSRNOG00000011054"
"ENSRNOG00000011057",5080,"ENSRNOG00000011057"
"ENSRNOG00000011058",11979,"ENSRNOG00000011058"
"ENSRNOG00000011059",4907,"ENSRNOG00000011059"
"ENSRNOG00000011060",1372,"ENSRNOG00000011060"
"ENSRNOG00000011063",6346,"ENSRNOG00000011063"
"ENSRNOG00000011065",423,"ENSRNOG00000011065"
"ENSRNOG00000011066",6541,"ENSRNOG00000011066"
"ENSRNOG00000011068",3507,"ENSRNOG00000011068"
"ENSRNOG00000011070",1531,"ENSRNOG00000011070"
"ENSRNOG00000011071",3238,"ENSRNOG00000011071"
"ENSRNOG00000011073",14145,"ENSRNOG00000011073"
"ENSRNOG00000011074",758,"ENSRNOG00000011074"
"ENSRNOG00000011076",16366,"ENSRNOG00000011076"
"ENSRNOG00000011077",7071,"ENSRNOG00000011077"
"ENSRNOG00000011078",1366,"ENSRNOG00000011078"
"ENSRNOG00000011081",1931,"ENSRNOG00000011081"
"ENSRNOG00000011082",565,"ENSRNOG00000011082"
"ENSRNOG00000011091",890,"ENSRNOG00000011091"
"ENSRNOG00000011092",2583,"ENSRNOG00000011092"
"ENSRNOG00000011093",960,"ENSRNOG00000011093"
"ENSRNOG00000011094",5275,"ENSRNOG00000011094"
"ENSRNOG00000011096",1772,"ENSRNOG00000011096"
"ENSRNOG00000011100",1080,"ENSRNOG00000011100"
"ENSRNOG00000011101",2479,"ENSRNOG00000011101"
"ENSRNOG00000011104",195,"ENSRNOG00000011104"
"ENSRNOG00000011107",5046,"ENSRNOG00000011107"
"ENSRNOG00000011108",1135,"ENSRNOG00000011108"
"ENSRNOG00000011111",4663,"ENSRNOG00000011111"
"ENSRNOG00000011112",2495,"ENSRNOG00000011112"
"ENSRNOG00000011113",1401,"ENSRNOG00000011113"
"ENSRNOG00000011114",1177,"ENSRNOG00000011114"
"ENSRNOG00000011116",3996,"ENSRNOG00000011116"
"ENSRNOG00000011120",3849,"ENSRNOG00000011120"
"ENSRNOG00000011124",2718,"ENSRNOG00000011124"
"ENSRNOG00000011130",1306,"ENSRNOG00000011130"
"ENSRNOG00000011132",7820,"ENSRNOG00000011132"
"ENSRNOG00000011133",3529,"ENSRNOG00000011133"
"ENSRNOG00000011134",9759,"ENSRNOG00000011134"
"ENSRNOG00000011135",4206,"ENSRNOG00000011135"
"ENSRNOG00000011136",1969,"ENSRNOG00000011136"
"ENSRNOG00000011138",1070,"ENSRNOG00000011138"
"ENSRNOG00000011140",1672,"ENSRNOG00000011140"
"ENSRNOG00000011141",1603,"ENSRNOG00000011141"
"ENSRNOG00000011142",4327,"ENSRNOG00000011142"
"ENSRNOG00000011144",1493,"ENSRNOG00000011144"
"ENSRNOG00000011145",2047,"ENSRNOG00000011145"
"ENSRNOG00000011146",2016,"ENSRNOG00000011146"
"ENSRNOG00000011148",3974,"ENSRNOG00000011148"
"ENSRNOG00000011150",3780,"ENSRNOG00000011150"
"ENSRNOG00000011151",8840,"ENSRNOG00000011151"
"ENSRNOG00000011153",3845,"ENSRNOG00000011153"
"ENSRNOG00000011154",6135,"ENSRNOG00000011154"
"ENSRNOG00000011155",441,"ENSRNOG00000011155"
"ENSRNOG00000011156",4187,"ENSRNOG00000011156"
"ENSRNOG00000011157",6174,"ENSRNOG00000011157"
"ENSRNOG00000011158",5567,"ENSRNOG00000011158"
"ENSRNOG00000011160",5201,"ENSRNOG00000011160"
"ENSRNOG00000011161",5075,"ENSRNOG00000011161"
"ENSRNOG00000011162",956,"ENSRNOG00000011162"
"ENSRNOG00000011164",4483,"ENSRNOG00000011164"
"ENSRNOG00000011165",3398,"ENSRNOG00000011165"
"ENSRNOG00000011167",4221,"ENSRNOG00000011167"
"ENSRNOG00000011168",2576,"ENSRNOG00000011168"
"ENSRNOG00000011170",1435,"ENSRNOG00000011170"
"ENSRNOG00000011171",1571,"ENSRNOG00000011171"
"ENSRNOG00000011174",2283,"ENSRNOG00000011174"
"ENSRNOG00000011175",4286,"ENSRNOG00000011175"
"ENSRNOG00000011177",1614,"ENSRNOG00000011177"
"ENSRNOG00000011178",2146,"ENSRNOG00000011178"
"ENSRNOG00000011180",2665,"ENSRNOG00000011180"
"ENSRNOG00000011181",1433,"ENSRNOG00000011181"
"ENSRNOG00000011182",1499,"ENSRNOG00000011182"
"ENSRNOG00000011184",3721,"ENSRNOG00000011184"
"ENSRNOG00000011189",2604,"ENSRNOG00000011189"
"ENSRNOG00000011191",2898,"ENSRNOG00000011191"
"ENSRNOG00000011193",3162,"ENSRNOG00000011193"
"ENSRNOG00000011194",4776,"ENSRNOG00000011194"
"ENSRNOG00000011195",1850,"ENSRNOG00000011195"
"ENSRNOG00000011196",1711,"ENSRNOG00000011196"
"ENSRNOG00000011199",4179,"ENSRNOG00000011199"
"ENSRNOG00000011200",2053,"ENSRNOG00000011200"
"ENSRNOG00000011201",2266,"ENSRNOG00000011201"
"ENSRNOG00000011202",4660,"ENSRNOG00000011202"
"ENSRNOG00000011203",4726,"ENSRNOG00000011203"
"ENSRNOG00000011205",754,"ENSRNOG00000011205"
"ENSRNOG00000011207",809,"ENSRNOG00000011207"
"ENSRNOG00000011208",1641,"ENSRNOG00000011208"
"ENSRNOG00000011211",8784,"ENSRNOG00000011211"
"ENSRNOG00000011213",4618,"ENSRNOG00000011213"
"ENSRNOG00000011214",1879,"ENSRNOG00000011214"
"ENSRNOG00000011216",7757,"ENSRNOG00000011216"
"ENSRNOG00000011222",652,"ENSRNOG00000011222"
"ENSRNOG00000011225",873,"ENSRNOG00000011225"
"ENSRNOG00000011227",2975,"ENSRNOG00000011227"
"ENSRNOG00000011228",1217,"ENSRNOG00000011228"
"ENSRNOG00000011231",4849,"ENSRNOG00000011231"
"ENSRNOG00000011234",981,"ENSRNOG00000011234"
"ENSRNOG00000011237",6199,"ENSRNOG00000011237"
"ENSRNOG00000011238",4038,"ENSRNOG00000011238"
"ENSRNOG00000011239",603,"ENSRNOG00000011239"
"ENSRNOG00000011241",3537,"ENSRNOG00000011241"
"ENSRNOG00000011243",1775,"ENSRNOG00000011243"
"ENSRNOG00000011245",2619,"ENSRNOG00000011245"
"ENSRNOG00000011250",1062,"ENSRNOG00000011250"
"ENSRNOG00000011251",3091,"ENSRNOG00000011251"
"ENSRNOG00000011253",2491,"ENSRNOG00000011253"
"ENSRNOG00000011254",3932,"ENSRNOG00000011254"
"ENSRNOG00000011258",2266,"ENSRNOG00000011258"
"ENSRNOG00000011260",1918,"ENSRNOG00000011260"
"ENSRNOG00000011261",4395,"ENSRNOG00000011261"
"ENSRNOG00000011262",6876,"ENSRNOG00000011262"
"ENSRNOG00000011263",1343,"ENSRNOG00000011263"
"ENSRNOG00000011268",6782,"ENSRNOG00000011268"
"ENSRNOG00000011269",1275,"ENSRNOG00000011269"
"ENSRNOG00000011271",5053,"ENSRNOG00000011271"
"ENSRNOG00000011276",2068,"ENSRNOG00000011276"
"ENSRNOG00000011277",1260,"ENSRNOG00000011277"
"ENSRNOG00000011278",2757,"ENSRNOG00000011278"
"ENSRNOG00000011280",5623,"ENSRNOG00000011280"
"ENSRNOG00000011282",2899,"ENSRNOG00000011282"
"ENSRNOG00000011283",754,"ENSRNOG00000011283"
"ENSRNOG00000011284",2195,"ENSRNOG00000011284"
"ENSRNOG00000011285",1115,"ENSRNOG00000011285"
"ENSRNOG00000011287",2423,"ENSRNOG00000011287"
"ENSRNOG00000011290",1472,"ENSRNOG00000011290"
"ENSRNOG00000011292",4687,"ENSRNOG00000011292"
"ENSRNOG00000011293",1743,"ENSRNOG00000011293"
"ENSRNOG00000011294",3955,"ENSRNOG00000011294"
"ENSRNOG00000011295",2855,"ENSRNOG00000011295"
"ENSRNOG00000011296",2863,"ENSRNOG00000011296"
"ENSRNOG00000011300",10391,"ENSRNOG00000011300"
"ENSRNOG00000011302",5128,"ENSRNOG00000011302"
"ENSRNOG00000011305",3029,"ENSRNOG00000011305"
"ENSRNOG00000011306",1742,"ENSRNOG00000011306"
"ENSRNOG00000011307",5506,"ENSRNOG00000011307"
"ENSRNOG00000011308",3583,"ENSRNOG00000011308"
"ENSRNOG00000011310",4360,"ENSRNOG00000011310"
"ENSRNOG00000011311",2640,"ENSRNOG00000011311"
"ENSRNOG00000011313",4571,"ENSRNOG00000011313"
"ENSRNOG00000011315",3041,"ENSRNOG00000011315"
"ENSRNOG00000011316",3483,"ENSRNOG00000011316"
"ENSRNOG00000011317",5686,"ENSRNOG00000011317"
"ENSRNOG00000011320",1328,"ENSRNOG00000011320"
"ENSRNOG00000011321",2826,"ENSRNOG00000011321"
"ENSRNOG00000011323",3319,"ENSRNOG00000011323"
"ENSRNOG00000011329",3631,"ENSRNOG00000011329"
"ENSRNOG00000011330",1860,"ENSRNOG00000011330"
"ENSRNOG00000011332",5110,"ENSRNOG00000011332"
"ENSRNOG00000011334",4408,"ENSRNOG00000011334"
"ENSRNOG00000011335",2012,"ENSRNOG00000011335"
"ENSRNOG00000011338",2181,"ENSRNOG00000011338"
"ENSRNOG00000011339",3889,"ENSRNOG00000011339"
"ENSRNOG00000011340",5021,"ENSRNOG00000011340"
"ENSRNOG00000011341",8285,"ENSRNOG00000011341"
"ENSRNOG00000011342",1546,"ENSRNOG00000011342"
"ENSRNOG00000011346",3541,"ENSRNOG00000011346"
"ENSRNOG00000011348",9723,"ENSRNOG00000011348"
"ENSRNOG00000011351",3080,"ENSRNOG00000011351"
"ENSRNOG00000011352",5127,"ENSRNOG00000011352"
"ENSRNOG00000011353",1785,"ENSRNOG00000011353"
"ENSRNOG00000011357",2776,"ENSRNOG00000011357"
"ENSRNOG00000011358",4274,"ENSRNOG00000011358"
"ENSRNOG00000011360",3087,"ENSRNOG00000011360"
"ENSRNOG00000011361",2338,"ENSRNOG00000011361"
"ENSRNOG00000011363",4699,"ENSRNOG00000011363"
"ENSRNOG00000011366",2445,"ENSRNOG00000011366"
